Tspace,MSEtrain,MSEtest
0.001,2.50911381272025,2.51468613200192
0.00107790740049927,2.50871604333997,2.51441900543392
0.0011618843640511,2.50828738499339,2.51413112866274
0.00125240375453507,2.50782544739159,2.51382089493945
0.00134997527542643,2.50732765663713,2.51348657392659
0.00145514833987319,2.50679124134053,2.51312630232576
0.00156851516437355,2.50621321772262,2.51273807381625
0.00169071410347358,2.50559037363476,2.51231972825744
0.00182243324426267,2.50491925142506,2.5118689401055
0.00196441428090663,2.50419612957524,2.51138320599172
0.00211745669103571,2.50341700302909,2.51085983140775
0.0022824222375041,2.50257756213027,2.51029591643973
0.00246023982086978,2.50167317008347,2.50968834049118
0.00265191070991854,2.50069883884999,2.50903374593165
0.00285851417968447,2.49964920338619,2.50832852060588
0.003081213588714,2.49851849413037,2.50756877913617
0.00332126292979375,2.49730050764214,2.50675034294826
0.00358001389102858,2.49598857529704,2.50586871895016
0.0038589234670299,2.49457552993888,2.50491907679157
0.00415956216307185,2.49305367039278,2.50389622463166
0.00448362283841191,2.49141472374442,2.50279458334273
0.00483293023857175,2.48964980529423,2.50160815907869
0.00520945127025321,2.48774937610108,2.50033051413949
0.00561530607674628,2.48570319803786,2.49895473606614
0.00605277997619335,2.48350028629202,2.49747340490619
0.00652433632993263,2.48112885925802,2.49587855859658
0.00703263041338064,2.47857628578629,2.49416165642014
0.00758052436755926,2.47582902977573,2.49231354050391
0.0081711033154572,2.47287259212389,2.49032439534267
0.00880769273397546,2.46969145008277,2.48818370534966
0.00949387717927583,2.46626899410868,2.48588021045958
0.0102335204709726,2.46258746234293,2.48340185983657
0.0110307874488222,2.45862787291859,2.48073576377361
0.0118901674244199,2.45436995435651,2.47786814390948
0.0128164994599576,2.44979207439459,2.4747842819368
0.0138149996163832,2.44487116768846,2.47146846703028
0.0148912903243941,2.43958266293096,2.46790394228942
0.0160514320436476,2.43390041006448,2.46407285056566
0.0173019573884589,2.42779660840554,2.45995618013152
0.018649907912143,2.4212417366677,2.45553371075005
0.0201028737571289,2.41420448605786,2.45078396081833
0.0216690363941118,2.40665169783556,2.44568413638978
0.0233572146909012,2.39854830696536,2.44021008302868
0.0251769145703728,2.38985729376154,2.43433624161684
0.0271383825371428,2.38053964572272,2.42803560941882
0.0292526633743665,2.37055433208185,2.4212797079187
0.0315316623355437,2.35985829395546,2.41403855916814
0.0339882121815267,2.34840645336204,2.40628067263362
0.0366361454402072,2.33615174479188,2.39797304479712
0.039490372295767,2.32304517344406,2.38908117404965
0.0425669645460787,2.30903590469411,2.37956909371574
0.0458832461010085,2.29407138980917,2.36939942635576
0.0494578905312064,2.27809753337149,2.35853346280473
0.0533110262166704,2.26105890829111,2.34693126971168
0.0574643496871597,2.2428990246597,2.33455182963145
0.0619412477926676,2.22356065899454,2.32135321797549
0.0667669293918756,2.20298625060815,2.30729282133057
0.0719685673001152,2.18111837187586,2.29232760178229
0.0775754512961242,2.15790027900997,2.27641441190408
0.0836191530491632,2.13327654952979,2.25951036496175
0.0901337038951743,2.10719381187623,2.24157326459826
0.0971557864630186,2.07960157148756,2.22256209776317
0.104724941229815,2.05045313605125,2.20243759388715
0.112883789168469,2.01970664049781,2.18116285222734
0.121678271741092,1.98732616952699,2.15870403787061
0.131157909589685,1.95328297198463,2.1350311450343
0.141376081380736,1.91755675718326,2.1101188240022
0.152390324373883,1.88013705825086,2.08394726524917
0.164262658407093,1.84102464180506,2.05650313102656
0.17705993512269,1.80023293674189,2.02778052091637
0.190854214400669,1.75778944782362,1.99778195366299
0.205723170118956,1.71373711225899,1.96651934305132
0.221750527525393,1.66813554990128,1.93401494086808
0.239026534684239,1.62106215047187,1.90030221527317
0.257648470651838,1.57261293489977,1.86542662850522
0.277721193242935,1.52290312312406,1.8294462741099
0.299357729472049,1.47206733831951,1.79243233123951
0.322679911994581,1.42025937833633,1.75446929251395
0.347819065131413,1.36765149007322,1.71565492297047
0.374916744339889,1.31443309235142,1.6760999112691
0.40412553329506,1.26080890827931,1.63592718100144
0.435609903069461,1.2069964894469,1.59527083997835
0.469547138249343,1.15322314147212,1.55427475883569
0.506128335202222,1.0997222927512,1.51309078698751
0.545559478116852,1.04672938433729,1.47187663328788
0.588062598874676,0.994477396499171,1.43079345972562
0.633877027283849,0.943192163742753,1.39000325762542
0.683260738715741,0.893087661342474,1.34966609533654
0.736491806732297,0.844361468828119,1.30993734217557
0.793869968883823,0.797190625614949,1.27096498332928
0.855718314494001,0.751728087936443,1.23288714263397
0.922385103935848,0.708099972617197,1.19582992331471
0.994245729642742,0.666403732056112,1.15990566046492
1.07170482989671,0.626707348387944,1.12521165398598
1.15519856729648,0.589049567808728,1.09182941883952
1.24519708473503,0.55344112514154,1.05982445387878
1.34220715271601,0.519866841740813,1.02924649510182
1.44677502291565,0.488288424673301,1.00013018803484
1.55948950405828,0.458647758335451,0.972496090799832
1.68098527742536,0.430870465266642,0.946351906836228
1.81194647066712,0.404869521507751,0.921693845222994
1.95311051004063,0.38054874052088,0.898508016287445
2.10527227276571,0.357805982606131,0.876771788288833
2.26928856288008,0.336535996440155,0.856455053945765
2.4460829357968,0.316632848224138,0.837521379599823
2.63665089873036,0.297991935702735,0.81992903142169
2.84206551627451,0.280511615033649,0.803631889771185
3.06348345269608,0.264094486780371,0.788580273348961
3.30215148496818,0.248648394073877,0.774721699058502
3.55941352321686,0.234087183699265,0.762001602409579
3.83671817811264,0.220331272675923,0.750364038281812
4.13562691781771,0.20730805195636,0.739752374553923
4.45782286041971,0.194952147780876,0.73010998297803
